,feature,divergence
23,WGTP,1.1040361094933024
1,AGEP,0.839793929326023
22,PWGTP,0.5198378901026561
0,PUMA,0.43272929472260335
5,RAC1P,0.2310355912124405
14,PINCP,0.21285613374146456
15,PINCP_DECILE,0.19496114904638573
13,EDU,0.1948849217657997
11,INDP,0.17477248770240167
7,NPF,0.10034653041026138
12,INDP_CAT,0.07993622658632914
10,DENSITY,0.06574269391342558
16,POVPIP,0.061380232603812965
4,HISP,0.0529178500941988
6,NOC,0.043933416933698566
19,DPHY,0.010319599018425607
2,SEX,0.00848244715783708
18,DREM,0.008102949288672862
9,OWN_RENT,0.00643806634638569
8,HOUSING_TYPE,0.0031082851973990404
21,DEAR,0.0019296770521124787
17,DVET,0.0018974912491948673
20,DEYE,0.0014677222922380752
3,MSP,0.0
